ID	t24h	t30h	t36h	t48h	t72h
SAM23877_RS21350	12.1411492	11.56795608	10.52552081	11.25561875	10.95274125
SAM23877_RS21355	12.56534013	12.06035818	10.89026428	11.72579227	10.50382574
SAM23877_RS21360	13.81498294	13.2974895	12.24466114	12.82754119	12.033423
SAM23877_RS21365	12.9168125	12.34068465	11.31684718	11.97727992	12.04302728
SAM23877_RS21370	12.13024878	11.50034397	10.55842071	11.23182118	10.41362793
SAM23877_RS21375	12.77375737	12.13282101	11.33706434	11.67330908	11.34485068
SAM23877_RS21390	13.69316022	12.61861492	11.59245704	12.09901899	12.57459353
SAM23877_RS21415	14.91583271	14.12525201	13.1374715	13.35190544	12.88664921
SAM23877_RS21420	12.46250227	11.669328	10.74483384	10.97441459	11.12088584
SAM23877_RS21425	15.23077102	14.91312316	13.9248125	13.43136701	10.81378119
SAM23877_RS21430	13.84539204	12.80251637	12.54061241	13.22641219	13.44837446
SAM23877_RS21440	11.79360331	10.58871464	10.17741954	10.62662165	9.915879379
SAM23877_RS21445	14.56182492	14.53709704	14.06322653	13.18021998	16.21166019
SAM23877_RS21450	13.3858624	12.99665002	12.43645129	12.04371086	13.84735102
SAM23877_RS21455	14.59041161	13.73184934	12.81858218	13.04780555	12.64295422
SAM23877_RS21460	14.5092183	13.56450678	12.51496056	12.89652162	10.81698362
SAM23877_RS21465	14.93253773	13.99576715	13.11991379	14.21598794	13.42966827
SAM23877_RS21475	10.20457114	9.864186145	9.224001674	8.535275377	10.27961058
SAM23877_RS21490	15.56578636	14.375311	12.86108691	13.32488372	15.02323456
SAM23877_RS21495	15.22064284	14.34602888	12.89292222	13.17944263	13.63820963
SAM23877_RS21500	12.97960382	12.21188829	10.4429435	10.01680829	8.758223215
SAM23877_RS21505	8.897845456	7.864186145	8.06608919	8.348728154	7.74819285
SAM23877_RS21540	10.17866485	10.26912668	9.84862294	8.632995197	9.118941073
SAM23877_RS21560	9.105908509	8.129283017	8.022367813	8.21916852	7.159871337
SAM23877_RS21565	8.668884984	8.294620749	8.326429487	8.027905997	8.614709844
SAM23877_RS21570	10.23361968	9.868822555	9.693486957	9.569855608	8.499845887
SAM23877_RS21600	8.060695932	7.294620749	6.392317423	5.857980995	5.087462841
SAM23877_RS21615	15.92634233	15.55862997	16.13538865	13.49222875	15.19352536
SAM23877_RS21620	14.53156422	13.97154355	14.18348031	13.14162821	13.90933059
SAM23877_RS21715	10.10328781	9.463524373	8.707359132	8.885696373	7.266786541
SAM23877_RS21735	8.033423002	9.584962501	12.50407411	13.39767463	11.69348696
SAM23877_RS21740	9.531381461	9.677719642	10.54012804	11.32923574	10.97297979
SAM23877_RS21745	13.5133575	12.39954497	12.31684718	12.74882179	12.41969689
SAM23877_RS21750	12.81718354	12.08613623	11.57270023	11.63117706	11.46862404
SAM23877_RS21755	2.321928095	2	2.584962501	4.95419631	8.361943774
SAM23877_RS21760	7.139551352	7.894817763	8.055282436	8.144658243	9.25502857
SAM23877_RS21795	8.139551352	7.339850003	7.599912842	7.523561956	6.539158811
SAM23877_RS21800	6.754887502	5.087462841	4.169925001	4.754887502	4.700439718
SAM23877_RS21815	13.25044647	12.55410915	12.30634655	12.58730873	12.62067804
SAM23877_RS21855	10.02375435	10.37721053	10.5943246	11.56605404	11.98619759
SAM23877_RS21860	9.603626345	9.126704473	9.668884984	10.84077792	9.751544059
SAM23877_RS21900	10.24555271	11.21492619	10.38370429	9.129283017	9.487840034
SAM23877_RS21910	6.523561956	6.554588852	6.459431619	6.686500527	6
SAM23877_RS21915	6.62935662	5.459431619	5.584962501	7.651051691	5.64385619
SAM23877_RS21935	14.3927199	13.88798213	13.58402294	13.07112712	13.52955256
SAM23877_RS21960	10.52845411	7.912889336	9.971543554	8.810571635	6.266786541
SAM23877_RS21965	10.9432474	8.62935662	10.82495874	10.25029842	6.442943496
SAM23877_RS21990	11.89064428	11.05663772	10.54303182	10.76155123	10.82257083
SAM23877_RS22005	13.32305476	12.95219522	13.45609768	12.77869318	12.14911199
SAM23877_RS22080	12.61953223	11.77355135	11.71510401	12.30349538	12.73935871
SAM23877_RS22085	10.00140819	9.68474862	9.818582177	9.768184325	9.592457037
SAM23877_RS22170	12.12638183	11.19105921	10.8963324	11.38801729	11.91139199
SAM23877_RS22175	12.9867309	12.29920802	11.83526092	12.22881869	12.43983088
SAM23877_RS22180	11.51717725	10.89102419	10.52258153	10.67860014	11.78176951
SAM23877_RS22185	12.47497338	11.82932634	11.49984589	11.29232163	10.58965115
SAM23877_RS22345	9.544964433	10.21188829	7.475733431	8.392317423	8.348728154
SAM23877_RS22350	8.144658243	8.997179481	5.807354922	6.459431619	7.672425342
SAM23877_RS22355	8.459431619	9.164906927	6.108524457	6.882643049	6.906890596
SAM23877_RS22365	9.413627929	10.59712143	7.189824559	6.918863237	6.62935662
SAM23877_RS22390	8.672425342	7.087462841	8.108524457	10.96072599	13.0454184
SAM23877_RS22430	11.7968508	11.10787091	11.20579325	10.20089861	10.99364606
SAM23877_RS22435	11.8273427	10.88187871	11.18858885	10.62296694	10.18858885
SAM23877_RS22445	9.319672121	8.430452552	6.95419631	7.366322214	7.539158811
SAM23877_RS22455	8.092757141	11.1692987	7.554588852	7.409390936	7.491853096
SAM23877_RS22460	8.344295908	11.24376903	7.906890596	7.977279923	7.930737338
